categoria,cat_principal,nombre,ean,precio,precio_texto,fecha
Almacen,Almacen,3ds queso x 85 gr.,7790310985830,3332.0,"$3.332,00",20260312
Almacen,Almacen,3ds queso x143gr.,7790310985137,4682.0,"$4.682,00",20260312
Almacen,Almacen,acaitunas goya x 149 gm con pimiento picante,41331014922,8703.0,"$8.703,00",20260312
Almacen,Almacen,aceite cocinero x900 ml oliva y girasol,7790070231598,5644.0,"$5.644,00",20260312
Almacen,Almacen,aceite copisi x 900 ml. girasol y oliva,7790272006819,5589.0,"$5.589,00",20260312
Almacen,Almacen,aceite de coco entrenuts neutro x 360 ml.,656750783931,6919.0,"$6.919,00",20260312
Almacen,Almacen,aceite de coco entrenuts virgen x 200 gr.,763571722428,7869.0,"$7.869,00",20260312
Almacen,Almacen,aceite de coco entrenuts virgen x 360 ml.,763571722435,13469.0,"$13.469,00",20260312
Almacen,Almacen,aceite de girasol alsamar x 5 lts.,7794870000040,18622.0,"$18.622,00",20260312
Almacen,Almacen,aceite de girasol alsamar x 900 ml.,7798316700907,3381.0,"$3.381,00",20260312
Almacen,Almacen,aceite de girasol alto oleico granix x 750 ml.,7790045823780,5927.0,"$5.927,00",20260312
Almacen,Almacen,"aceite de girasol legitimo x 1,5 lt.",7798316700815,5553.0,"$5.553,00",20260312
Almacen,Almacen,aceite de girasol legitimo x 3 lt.,7798316700822,11435.0,"$11.435,00",20260312
Almacen,Almacen,aceite de girasol legitimo x 5 lts.,7798316700839,18622.0,"$18.622,00",20260312
Almacen,Almacen,aceite de girasol legitimo x 900 ml.,7798316700808,3381.0,"$3.381,00",20260312
Almacen,Almacen,"aceite de girasol lira x 1,5 lt.",7790070231420,6285.0,"$6.285,00",20260312
Almacen,Almacen,aceite de girasol lira x 900 ml.,7790070231468,3973.0,"$3.973,00",20260312
Almacen,Almacen,"aceite de girasol natura x 1,5 lt.",7790272001029,6147.0,"$6.147,00",20260312
Almacen,Almacen,aceite de girasol natura x 3 lt.,7790272001036,12048.0,"$12.048,00",20260312
Almacen,Almacen,aceite de girasol natura x 900 ml.,7790272001005,3883.0,"$3.883,00",20260312
Almacen,Almacen,aceite de maiz lira x 900 ml.,7790070231697,6492.0,"$6.492,00",20260312
Almacen,Almacen,aceite de maiz mazola x 900 ml.,7790272000794,5565.0,"$5.565,00",20260312
Almacen,Almacen,aceite de oliva altavia extra virgen lata x 500 ml,7792900807522,15423.0,"$15.423,00",20260312
Almacen,Almacen,aceite de oliva casalta extra virgen medio x 250 .,7790139004828,19047.0,"$19.047,00",20260312
Almacen,Almacen,aceite de oliva casalta extra virgen suave x 250 m,7790139004811,19047.0,"$19.047,00",20260312
Almacen,Almacen,aceite de oliva casalta extra virgen suave x 400 .,7790139004569,29239.0,"$29.239,00",20260312
Almacen,Almacen,aceite de oliva casalta medio x 400 ml.,7790139004576,29239.0,"$29.239,00",20260312
Almacen,Almacen,aceite de oliva cocinero ol. puro p. x 1 litro,7790070265135,20746.0,"$20.746,00",20260312
Almacen,Almacen,"aceite de oliva cortijo extra virgen x 1,5 lts.",7798123974812,49248.0,"$49.248,00",20260312
Almacen,Almacen,aceite de oliva cortijo x 250 ml.,7798123971385,11856.0,"$11.856,00",20260312
