categoria,cat_principal,nombre,ean,precio,precio_texto,fecha
Limpieza,Limpieza,frutera 24 x 12 cm,7792824115147,8864.38,"$8.864,38",20260901
Limpieza,Limpieza,fuente cuadrada panal,8682911647141,18959.89,"$18.959,89",20260901
Limpieza,Limpieza,fuente oval 35 x 24 cm,3426470010139,16526.02,"$16.526,02",20260901
Limpieza,Limpieza,fuente oval acanalada,8682911647585,12757.52,"$12.757,52",20260901
Limpieza,Limpieza,fuente rectangular 640 cc,8684000880057,8038.24,"$8.038,24",20260901
Limpieza,Limpieza,fuente rectangular le cuisine 23 x 15 cm.,3426470262521,12470.0,"$12.470,00",20260901
Limpieza,Limpieza,fuenton x 12 lt. gemplast,7793762098110,3991.0,"$3.991,00",20260901
Limpieza,Limpieza,funda colchon 1 12 plaza algodonpoliester,7796314000210,10550.0,"$10.550,00",20260901
Limpieza,Limpieza,funda para almohadas de 1 plaza,7796314000197,7233.0,"$7.233,00",20260901
Limpieza,Limpieza,funda para colchon 1 plaza,7796314000159,9821.0,"$9.821,00",20260901
Limpieza,Limpieza,funda para colchon 2 y 12 plazas,7796314000173,14708.0,"$14.708,00",20260901
Limpieza,Limpieza,funda para lavarropas carga superiror 60 x 60,8560117,13073.1,"$13.073,10",20260901
Limpieza,Limpieza,funda para lavarropas frontal  60 x 60,8560063,13073.0,"$13.073,00",20260901
Limpieza,Limpieza,funda para tabla de planchar,7796314000142,8643.0,"$8.643,00",20260901
Limpieza,Limpieza,gorra inglesa,2700007000765,15795.0,"$15.795,00",20260901
Limpieza,Limpieza,gorra inglesa de paao,2700004163555,17549.84,"$17.549,84",20260901
Limpieza,Limpieza,gorro basico,2700007126670,4489.69,"$4.489,69",20260901
Limpieza,Limpieza,gorro con lurex,2700007122665,4489.69,"$4.489,69",20260901
Limpieza,Limpieza,gorro con strass,7702202400239,6290.0,"$6.290,00",20260901
Limpieza,Limpieza,gorro infantil trendy,2700004167072,14147.32,"$14.147,32",20260901
