categoria,cat_principal,nombre,ean,precio,precio_texto,fecha
Carniceria,Frescos,12 pollo x kilo,2030650000004,4967.0,"$4.967,00",20260225
Carniceria,Frescos,araaita novillo x kilo envasada al vacio estancia retiro,2037210000009,34300.0,"$34.300,00",20260225
Carniceria,Frescos,asado de costilla ternera x kg.,2024850000001,22700.0,"$22.700,00",20260225
Carniceria,Frescos,asado mar del plata ternera x kg.,2024860000008,19900.0,"$19.900,00",20260225
Carniceria,Frescos,bondiola cerdo paladini x kg.,2014400000001,12644.0,"$12.644,00",20260225
Carniceria,Frescos,bondiola de cerdo el cheru x kilo x kg.,2028610000003,9277.0,"$9.277,00",20260225
Carniceria,Frescos,brazuelo chueso ternera x kg.,2024920000009,16900.0,"$16.900,00",20260225
Carniceria,Frescos,brazuelo shueso ternera x kg.,2024960000007,19500.0,"$19.500,00",20260225
Carniceria,Frescos,brazuelo sin hueso novilito env. al vacio estancia retiro,2037030000005,20200.0,"$20.200,00",20260225
Carniceria,Frescos,cabeza de lomo de cerdo el cheru x kg.,2030430000002,9294.0,"$9.294,00",20260225
Carniceria,Frescos,cabeza de lomo estancia el retiro x kg. envasada al vacio,2037040000002,24000.0,"$24.000,00",20260225
Carniceria,Frescos,cabeza de lomo ternera x kg.,2024990000008,20900.0,"$20.900,00",20260225
Carniceria,Frescos,carbon fuego x 3.5 kg.,7796661000017,3450.0,"$3.450,00",20260225
Carniceria,Frescos,carbon la esperanza x 3 kg.,7798025870014,3727.0,"$3.727,00",20260225
Carniceria,Frescos,carbon la esperanza x 5 kg.,7798025870038,5929.0,"$5.929,00",20260225
Carniceria,Frescos,carne picada comun ternera x kg.,2025550000001,7900.0,"$7.900,00",20260225
Carniceria,Frescos,carre de cerdo deshuesado paladini x kg.,2014460000003,14361.0,"$14.361,00",20260225
Carniceria,Frescos,carre de cerdo el cheru x kg.,2028660000008,6954.0,"$6.954,00",20260225
Carniceria,Frescos,chinchulines x kg.,2023850000004,7293.0,"$7.293,00",20260225
Carniceria,Frescos,chorizo especial el cheru x kg.,2028670000005,9038.0,"$9.038,00",20260225
Lacteos Y Frescos,Frescos,actimel ent.x100gr.multifruta,7791337007819,1750.0,"$1.750,00",20260225
Lacteos Y Frescos,Frescos,activia sachet deslactosado x 900 gm ciruela,7791337009400,5526.0,"$5.526,00",20260225
Lacteos Y Frescos,Frescos,ades x 1lt natural,7790895649837,3216.0,"$3.216,00",20260225
Lacteos Y Frescos,Frescos,ades x1lt almendra,7790895649806,5255.0,"$5.255,00",20260225
Lacteos Y Frescos,Frescos,alim.lact.danonino x185gr.vain,7791337008700,2851.0,"$2.851,00",20260225
Lacteos Y Frescos,Frescos,alimento lacteo danonino frutilla x 80 gr.,7791337008663,1084.0,"$1.084,00",20260225
Lacteos Y Frescos,Frescos,alimento lacteo danonino sabor vainilla x 80 gr.,7791337008656,1084.0,"$1.084,00",20260225
Lacteos Y Frescos,Frescos,alimento lacteo danonino x 100 gr frutilla,7791337008670,1606.0,"$1.606,00",20260225
Lacteos Y Frescos,Frescos,alimento lacteo danonino x 185 gr frutilla,7791337008694,2851.0,"$2.851,00",20260225
Lacteos Y Frescos,Frescos,alimento lacteo danonino x 80.5 gr natural,7791337009899,1084.0,"$1.084,00",20260225
Lacteos Y Frescos,Frescos,alimento lacteo untable ricrem x 280 gr.,7794990184484,2110.0,"$2.110,00",20260225
Lacteos Y Frescos,Frescos,alimento liquido silk almendra x 1 litro mocha,7791337010161,6668.0,"$6.668,00",20260225
Lacteos Y Frescos,Frescos,alimento liquido silk almendra x 1lt sin azucar .,7791337007918,6668.0,"$6.668,00",20260225
Lacteos Y Frescos,Frescos,alimento liquido silk x 1 litro coco sin azucar,7791337007932,6668.0,"$6.668,00",20260225
Lacteos Y Frescos,Frescos,alimento silk almendras x 1 litro chocolate,7791337007956,6668.0,"$6.668,00",20260225
Lacteos Y Frescos,Frescos,aoquis de semolin la morocha x 500 gm,7794080001509,2538.0,"$2.538,00",20260225
Lacteos Y Frescos,Frescos,arrollado carne espaa?a?ol x kg.,2011080000000,21356.0,"$21.356,00",20260225
Lacteos Y Frescos,Frescos,arrollado de pollo fela x kilo al vacio x kg.,2012870000002,21347.0,"$21.347,00",20260225
Lacteos Y Frescos,Frescos,arrollado de pollo paladini x kilo,2032030000000,26440.0,"$26.440,00",20260225
Lacteos Y Frescos,Frescos,arrollado de pollo paladini x kilo envasado al vacio,2032210000004,26438.0,"$26.438,00",20260225
Lacteos Y Frescos,Frescos,arrollado de pollo tipo espaa?a?ol x kilo x kg.,2011100000003,22194.0,"$22.194,00",20260225
Lacteos Y Frescos,Frescos,arrollado de pollo x kg.,2011090000007,22194.0,"$22.194,00",20260225
Lacteos Y Frescos,Frescos,arrollado matambre de vaca paladini envasado al vacio x kilo,2032200000007,32839.0,"$32.839,00",20260225
Lacteos Y Frescos,Frescos,arroz cleche tregar x180g.can,7793913013474,1328.0,"$1.328,00",20260225
Lacteos Y Frescos,Frescos,arroz cleche tregar x180g.cla,7793913013450,1328.0,"$1.328,00",20260225
Lacteos Y Frescos,Frescos,arroz con leche tregar chocolate x 180 gr.,7793913001662,1328.0,"$1.328,00",20260225
Lacteos Y Frescos,Frescos,arroz con leche tregar light x 180 gr.,7793913000504,1328.0,"$1.328,00",20260225
Lacteos Y Frescos,Frescos,arroz con leche tregar x 180 gr. dulce de leche,7793913013467,1328.0,"$1.328,00",20260225
Lacteos Y Frescos,Frescos,bacon en fetas paladini x 150 gr.,7790079021114,4463.0,"$4.463,00",20260225
Lacteos Y Frescos,Frescos,beb.lact.ls.x900 sachet frut.,7790742665027,2089.0,"$2.089,00",20260225
Lacteos Y Frescos,Frescos,bebida lactea actimel x 100 gr. frutilla,7791337007802,1750.0,"$1.750,00",20260225
Lacteos Y Frescos,Frescos,bebida lactea la serenisima protein chocolate x 1,7790742172105,3299.0,"$3.299,00",20260225
Lacteos Y Frescos,Frescos,bebida lactea la serenisima sense x 1 lt. caramel,7790742671653,3758.0,"$3.758,00",20260225
