categoria,cat_principal,nombre,ean,precio,precio_texto,fecha
Almacen,Almacen,3ds queso x 85 gr.,7790310985830,3649.0,"$3.649,00",20260630
Almacen,Almacen,3ds queso x143gr.,7790310985137,5118.0,"$5.118,00",20260630
Almacen,Almacen,3ds sabor queso x 43 gm,7790310985113,2271.0,"$2.271,00",20260630
Almacen,Almacen,ac. de oliva zuccardi x 500 ml coratina,7791728246629,24261.0,"$24.261,00",20260630
Almacen,Almacen,ac.de coco entrenuts x200virg.,763571722428,9649.0,"$9.649,00",20260630
Almacen,Almacen,ac.ol.l.toscana x250ml.ajo,7798080520657,9903.0,"$9.903,00",20260630
Almacen,Almacen,ac.ol.l.toscana x250ml.albahac,7798080520534,9903.0,"$9.903,00",20260630
Almacen,Almacen,ac.ol.zuccardi x250ml.coratina,7791728246612,14152.0,"$14.152,00",20260630
Almacen,Almacen,ac.ol.zuccardi x250ml.picual,7791728246575,14152.0,"$14.152,00",20260630
Almacen,Almacen,ac.ol.zuelo x500ml.bot.intenso,7791728241181,18903.0,"$18.903,00",20260630
Almacen,Almacen,acaitunas goya x 149 gm con pimiento picante,41331014922,9280.0,"$9.280,00",20260630
Almacen,Almacen,aceite cocinero mezcla x1.5lt.,7790070225023,5489.0,"$5.489,00",20260630
Almacen,Almacen,aceite cocinero puro de oliva x 500 ml,7790070265142,10919.0,"$10.919,00",20260630
Almacen,Almacen,aceite cocinero x900 ml oliva y girasol,7790070231598,5809.0,"$5.809,00",20260630
Almacen,Almacen,aceite copisi x 900 ml. girasol y oliva,7790272006819,6162.0,"$6.162,00",20260630
Almacen,Almacen,aceite de coco entrenuts neutro x 360 ml.,656750783931,8902.0,"$8.902,00",20260630
Almacen,Almacen,aceite de coco entrenuts virgen x 360 ml.,763571722435,16512.0,"$16.512,00",20260630
Almacen,Almacen,aceite de girasol alsamar x 5 lts.,7794870000040,21090.0,"$21.090,00",20260630
Almacen,Almacen,aceite de girasol alsamar x 900 ml.,7798316700907,3862.0,"$3.862,00",20260630
Almacen,Almacen,"aceite de girasol cocinero x 1,5 lt.",7790060023684,6909.0,"$6.909,00",20260630
Almacen,Almacen,aceite de girasol cocinero x 900 ml.,7790070012050,4359.0,"$4.359,00",20260630
Almacen,Almacen,"aceite de girasol legitimo x 1,5 lt.",7798316700815,6251.0,"$6.251,00",20260630
Almacen,Almacen,aceite de girasol legitimo x 3 lt.,7798316700822,12773.0,"$12.773,00",20260630
Almacen,Almacen,aceite de girasol legitimo x 5 lts.,7798316700839,21090.0,"$21.090,00",20260630
Almacen,Almacen,aceite de girasol legitimo x 900 ml.,7798316700808,3862.0,"$3.862,00",20260630
Almacen,Almacen,"aceite de girasol natura x 1,5 lt.",7790272001029,5999.0,"$5.999,00",20260630
Almacen,Almacen,aceite de girasol natura x 3 lt.,7790272001036,13775.0,"$13.775,00",20260630
Almacen,Almacen,aceite de girasol natura x 900 ml.,7790272001005,3799.0,"$3.799,00",20260630
Almacen,Almacen,aceite de maiz mazola x 900 ml.,7790272000794,5565.0,"$5.565,00",20260630
Almacen,Almacen,aceite de oliva  zuelo x 950 ml lata original,7791728248708,33106.0,"$33.106,00",20260630
Almacen,Almacen,aceite de oliva casalta extra virgen medio x 250 .,7790139004828,20223.0,"$20.223,00",20260630
Almacen,Almacen,aceite de oliva casalta extra virgen suave x 400 .,7790139004569,31043.0,"$31.043,00",20260630
Almacen,Almacen,aceite de oliva casalta medio x 400 ml.,7790139004576,31043.0,"$31.043,00",20260630
Almacen,Almacen,aceite de oliva cocinero extra virgen x 500 ml.,7790070265098,12905.0,"$12.905,00",20260630
