categoria,cat_principal,nombre,ean,precio,precio_texto,fecha
Almacen,Almacen,3ds queso x 85 gr.,7790310985830,3471.0,"$3.471,00",20260223
Almacen,Almacen,3ds queso x143gr.,7790310985137,4877.0,"$4.877,00",20260223
Almacen,Almacen,ac. de oliva zuccardi x 500 ml coratina,7791728246629,23165.0,"$23.165,00",20260223
Almacen,Almacen,ac.de coco entrenuts x200virg.,763571722428,9649.0,"$9.649,00",20260223
Almacen,Almacen,ac.ol.zuccardi x250ml.coratina,7791728246612,13162.0,"$13.162,00",20260223
Almacen,Almacen,ac.ol.zuccardi x250ml.picual,7791728246575,13162.0,"$13.162,00",20260223
Almacen,Almacen,ac.ol.zuelo x500ml.bot.intenso,7791728241181,18743.0,"$18.743,00",20260223
Almacen,Almacen,aceite cocinero x900 ml oliva y girasol,7790070231598,5809.0,"$5.809,00",20260223
Almacen,Almacen,aceite copisi x 900 ml. girasol y oliva,7790272006819,5589.0,"$5.589,00",20260223
Almacen,Almacen,aceite de coco entrenuts neutro x 360 ml.,656750783931,8484.0,"$8.484,00",20260223
Almacen,Almacen,aceite de coco entrenuts virgen x 360 ml.,763571722435,16512.0,"$16.512,00",20260223
Almacen,Almacen,aceite de girasol alsamar x 5 lts.,7794870000040,18622.0,"$18.622,00",20260223
Almacen,Almacen,aceite de girasol alsamar x 900 ml.,7798316700907,3381.0,"$3.381,00",20260223
Almacen,Almacen,aceite de girasol alto oleico granix x 750 ml.,7790045823780,5927.0,"$5.927,00",20260223
Almacen,Almacen,aceite de girasol cocinero x 900 ml.,7790070012050,3556.0,"$3.556,00",20260223
Almacen,Almacen,"aceite de girasol legitimo x 1,5 lt.",7798316700815,5553.0,"$5.553,00",20260223
Almacen,Almacen,aceite de girasol legitimo x 3 lt.,7798316700822,11435.0,"$11.435,00",20260223
Almacen,Almacen,aceite de girasol legitimo x 5 lts.,7798316700839,18622.0,"$18.622,00",20260223
Almacen,Almacen,aceite de girasol legitimo x 900 ml.,7798316700808,3381.0,"$3.381,00",20260223
Almacen,Almacen,"aceite de girasol lira x 1,5 lt.",7790070231420,6285.0,"$6.285,00",20260223
Almacen,Almacen,aceite de girasol lira x 900 ml.,7790070231468,3783.0,"$3.783,00",20260223
Almacen,Almacen,"aceite de girasol natura x 1,5 lt.",7790272001029,6147.0,"$6.147,00",20260223
Almacen,Almacen,aceite de girasol natura x 3 lt.,7790272001036,12048.0,"$12.048,00",20260223
Almacen,Almacen,aceite de maiz lira x 900 ml.,7790070231697,6492.0,"$6.492,00",20260223
Almacen,Almacen,aceite de maiz mazola x 900 ml.,7790272000794,5385.0,"$5.385,00",20260223
Almacen,Almacen,aceite de oliva casalta extra virgen medio x 250 .,7790139004828,17500.0,"$17.500,00",20260223
Almacen,Almacen,aceite de oliva casalta extra virgen suave x 250 m,7790139004811,17500.0,"$17.500,00",20260223
Almacen,Almacen,aceite de oliva casalta extra virgen suave x 400 .,7790139004569,26863.0,"$26.863,00",20260223
Almacen,Almacen,aceite de oliva casalta medio x 400 ml.,7790139004576,26863.0,"$26.863,00",20260223
Almacen,Almacen,aceite de oliva cocinero ol. puro p. x 1 litro,7790070265135,21347.0,"$21.347,00",20260223
Almacen,Almacen,aceite de oliva con limon la toscana x 250 ml.,7798080521265,9774.0,"$9.774,00",20260223
Almacen,Almacen,"aceite de oliva cortijo extra virgen x 1,5 lts.",7798123974812,54000.0,"$54.000,00",20260223
Almacen,Almacen,aceite de oliva cortijo x 250 ml.,7798123971385,13000.0,"$13.000,00",20260223
Almacen,Almacen,aceite de oliva extra virgen nucete x 500 ml.,7792070001614,16708.0,"$16.708,00",20260223
Almacen,Almacen,aceite de oliva familia zuccardi x 250 ml. varieda,7791728246650,17901.0,"$17.901,00",20260223
Almacen,Almacen,aceite de oliva flia. zuccardi x 250 ml. variedadd,7791728246537,13162.0,"$13.162,00",20260223
Almacen,Almacen,aceite de oliva marvavic extra virgen x 500 ml.,7793551002212,16737.0,"$16.737,00",20260223
Almacen,Almacen,aceite de oliva natura andino x 500 ml.,7790272008387,17391.0,"$17.391,00",20260223
Almacen,Almacen,aceite de oliva natura fuerte x 500 ml.,7790272008417,14907.0,"$14.907,00",20260223
Almacen,Almacen,aceite de oliva natura suave x 500 ml.,7790272008394,14907.0,"$14.907,00",20260223
Almacen,Almacen,aceite de oliva nucete clasico extra virgen x 250.,7792070001652,9481.0,"$9.481,00",20260223
Almacen,Almacen,aceite de oliva pignani clasico x 500 ml vidrio,7798089050254,14514.0,"$14.514,00",20260223
Almacen,Almacen,aceite de oliva pignani premium x 500 ml,7798183790063,19214.0,"$19.214,00",20260223
Almacen,Almacen,aceite de oliva zuccardi x 500 gm picual,7791728246582,23165.0,"$23.165,00",20260223
Almacen,Almacen,aceite de oliva zuccardi x 500 ml genovesa,7791728246544,23165.0,"$23.165,00",20260223
