categoria,cat_principal,nombre,ean,precio,precio_texto,fecha
Lacteos Y Frescos,Frescos,actimel edicion limitada x 100 cm citrus,7791337009790,2225.0,"$2.225,0",20260911
Lacteos Y Frescos,Frescos,actimel ent.x100gr.multifruta,7791337007819,2225.0,"$2.225,0",20260911
Lacteos Y Frescos,Frescos,activia sachet deslactosado x 900 gm ciruela,7791337009400,6595.0,"$6.595,0",20260911
Lacteos Y Frescos,Frescos,ades x 1lt natural,7790895649837,3741.0,"$3.741,0",20260911
Lacteos Y Frescos,Frescos,ades x1lt almendra,7790895649806,6259.0,"$6.259,0",20260911
Lacteos Y Frescos,Frescos,alim.lact.danonino x185gr.vain,7791337008700,3309.0,"$3.309,0",20260911
Lacteos Y Frescos,Frescos,alimento la serenisima x 1 litro chocolate,7790742341709,4859.0,"$4.859,0",20260911
Lacteos Y Frescos,Frescos,alimento lacteo danonino frutilla x 80 gr.,7791337008663,1333.0,"$1.333,0",20260911
Lacteos Y Frescos,Frescos,alimento lacteo danonino sabor vainilla x 80 gr.,7791337008656,1333.0,"$1.333,0",20260911
Lacteos Y Frescos,Frescos,alimento lacteo danonino x 100 gr frutilla,7791337008670,1976.0,"$1.976,0",20260911
Lacteos Y Frescos,Frescos,alimento lacteo danonino x 185 gr frutilla,7791337008694,3309.0,"$3.309,0",20260911
Lacteos Y Frescos,Frescos,alimento lacteo danonino x 80.5 gr natural,7791337009899,1333.0,"$1.333,0",20260911
Lacteos Y Frescos,Frescos,alimento lacteo danonino x 900 gm frutilla,7791337009431,5143.0,"$5.143,0",20260911
Lacteos Y Frescos,Frescos,alimento lacteo ricrem untable x 280 gr light,7794990191123,2468.0,"$2.468,0",20260911
Lacteos Y Frescos,Frescos,alimento lacteo untable ricrem x 280 gr.,7794990184484,2468.0,"$2.468,0",20260911
Lacteos Y Frescos,Frescos,alimento liquido silk almendra x 1 litro mocha,7791337010161,6741.0,"$6.741,0",20260911
Lacteos Y Frescos,Frescos,alimento liquido silk almendra x 1lt sin azucar .,7791337007918,6741.0,"$6.741,0",20260911
Lacteos Y Frescos,Frescos,alimento liquido silk x 1 litro almendras endulzado,7791337007901,6741.0,"$6.741,0",20260911
Lacteos Y Frescos,Frescos,alimento liquido silk x 1 litro coco sin azucar,7791337007932,6741.0,"$6.741,0",20260911
Lacteos Y Frescos,Frescos,alimento silk almendras x 1 litro chocolate,7791337007956,6741.0,"$6.741,0",20260911
Lacteos Y Frescos,Frescos,aoquis de semolin la morocha x 500 gm,7794080001509,2898.0,"$2.898,0",20260911
Lacteos Y Frescos,Frescos,arrollado carne espaa?a?ol x kg.,2011080000000,25617.0,"$25.617,0",20260911
Lacteos Y Frescos,Frescos,arrollado de pollo paladini x kilo,2032030000000,31844.0,"$31.844,0",20260911
Lacteos Y Frescos,Frescos,arrollado de pollo tipo espaa?a?ol x kilo x kg.,2011100000003,23998.0,"$23.998,0",20260911
Lacteos Y Frescos,Frescos,arroz cleche tregar x180g.can,7793913013474,1663.0,"$1.663,0",20260911
Lacteos Y Frescos,Frescos,arroz cleche tregar x180g.cla,7793913013450,1663.0,"$1.663,0",20260911
Lacteos Y Frescos,Frescos,arroz con leche tregar chocolate x 180 gr.,7793913001662,1663.0,"$1.663,0",20260911
Lacteos Y Frescos,Frescos,arroz con leche tregar light x 180 gr.,7793913000504,1663.0,"$1.663,0",20260911
