ean,nombre,categoria,cat_principal,precio,fecha
7792070000556,aceitunas nucete verdes descarozadas x 160 gr.,Almacen,Almacen,3605.0,20260220
7792070001287,aceitunas nucete verdes x 300 gm rodajas coy pack,Almacen,Almacen,2631.0,20260220
7792070071716,aceitunas nucete x 90 gm doy pack mini r,Almacen,Almacen,1831.0,20260220
7793551001888,aceitunas rellenas cmorron marvavic x 150 gr. dp,Almacen,Almacen,2786.0,20260220
7793551003011,aceitunas rellenas cmorron marvavic x 200 gr.,Almacen,Almacen,4689.0,20260220
7792070004523,aceitunas verdes con carozo nucete frasco x 330 gr,Almacen,Almacen,3291.0,20260220
7792070001119,aceitunas verdes con carozo nucete sachet x 300 gr,Almacen,Almacen,2244.0,20260220
7793551000270,aceitunas verdes condimentadas marvavic x 300 gr.,Almacen,Almacen,7225.0,20260220
7793551001512,aceitunas verdes descarozadas marvavic x 140 gr.,Almacen,Almacen,2189.0,20260220
7793551003028,aceitunas verdes descarozadas marvavic x 160 gr.,Almacen,Almacen,4127.0,20260220
7792070034353,aceitunas verdes descarozadas nucete premium x 360,Almacen,Almacen,4309.0,20260220
7792070001102,aceitunas verdes descarozadas nucete x 300 gr.,Almacen,Almacen,2786.0,20260220
7793551001857,aceitunas verdes en rodajas marvavic x 140 gr. doy,Almacen,Almacen,2541.0,20260220
7793551001567,aceitunas verdes en rodajas marvavic x 150 gr.,Almacen,Almacen,2189.0,20260220
7793551003035,aceitunas verdes en rodajas marvavic x 180 gr.,Almacen,Almacen,4521.0,20260220
7790127733549,aceitunas verdes en rodajas vanoli x 190 gr.,Almacen,Almacen,2222.0,20260220
7793551001963,aceitunas verdes marvavic en trozos condim. ppiza,Almacen,Almacen,1845.0,20260220
7793551000607,aceitunas verdes marvavic x 100 gr.,Almacen,Almacen,1645.0,20260220
7793551001840,aceitunas verdes marvavic x 160 gr. doy pack,Almacen,Almacen,2229.0,20260220
7793551001536,aceitunas verdes marvavic x 180 gr.,Almacen,Almacen,1939.0,20260220
7793551000034,aceitunas verdes marvavic x 330 gr.,Almacen,Almacen,3822.0,20260220
7793551000041,aceitunas verdes marvavic x 420 gr.,Almacen,Almacen,6828.0,20260220
7793551000683,aceitunas verdes marvavic x 80 gr.,Almacen,Almacen,1786.0,20260220
7792070004608,aceitunas verdes nucete descarozadas light x 180 g,Almacen,Almacen,3785.0,20260220
7792070001089,aceitunas verdes nucete doy pack x 330 gr.,Almacen,Almacen,2244.0,20260220
7792070004851,aceitunas verdes nucete premium descarozadas x 350,Almacen,Almacen,8762.0,20260220
7792070000075,aceitunas verdes nucete premium x 220 gr.,Almacen,Almacen,3919.0,20260220
7792070000068,aceitunas verdes nucete premium x 660 gr.,Almacen,Almacen,7966.0,20260220
7792070001126,aceitunas verdes rellenas cmorron nucete x 300 gr,Almacen,Almacen,3653.0,20260220
7792070004899,aceitunas verdes rellenas nucete premium x 400 gr.,Almacen,Almacen,9925.0,20260220
7792070000495,aceitunas verdes rellenas nucete x 200 gr.,Almacen,Almacen,3905.0,20260220
7790127731040,aceitunas verdes vanoli x 190 gr.,Almacen,Almacen,1449.0,20260220
7790127000269,aceitunas verdes vanoli x 300 gr.,Almacen,Almacen,2089.0,20260220
7790139003364,aceto balsamico casalta ahumado x 400 ml.,Almacen,Almacen,6122.0,20260220
7790139101763,aceto balsamico casalta clasico x 500 ml.,Almacen,Almacen,5954.0,20260220
7790139004613,aceto balsamico casalta glaze x 250 ml curry,Almacen,Almacen,5136.0,20260220
7790139003371,aceto balsamico casalta manzana x 400 ml.,Almacen,Almacen,6503.0,20260220
7790139004330,aceto balsamico casalta original x 250 ml.,Almacen,Almacen,4923.0,20260220
7790139101466,aceto balsamico casalta reduccion x 250 ml.,Almacen,Almacen,4923.0,20260220
7790139000448,aceto balsamico casalta x 250 ml. clasico,Almacen,Almacen,3808.0,20260220
7790070228611,aceto balsamico cocinero x 500 ml. tipo modena,Almacen,Almacen,5213.0,20260220
7792900092966,aceto balsamico dos anclas altavia gourmet x 250,Almacen,Almacen,5793.0,20260220
7790139003425,aceto balsamico favinco x 250 ml.,Almacen,Almacen,2928.0,20260220
7790139002121,aceto balsamico favinco x 500 ml.,Almacen,Almacen,4250.0,20260220
7790139004521,aceto balsamico glaze casalta x 250 ml. ahumado,Almacen,Almacen,4923.0,20260220
7798080522057,aceto balsamico la toscana pet x 250 ml.,Almacen,Almacen,3392.0,20260220
7798080521272,aceto balsamico la toscana x 250 ml.,Almacen,Almacen,4845.0,20260220
7790070231956,aceto balsamico lira reduccion x 250 ml.,Almacen,Almacen,4347.0,20260220
7790070231963,aceto balsamico lira reduccion x 500 ml.,Almacen,Almacen,7702.0,20260220
7793551002205,aceto balsamico marvavic x 250 ml.,Almacen,Almacen,7263.0,20260220
7794000008915,aderezo hellmann`s picante x 250 gr.,Almacen,Almacen,2479.0,20260220
